2024-09-27 20:36:42,254 - INFO - objects_num_before_nms: 88, objects_num_after_nms: 7, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 20600, _objects_num_after_nms: 1495, _person_num_after_nms: 1495, _car_num_after_nms: 0
2024-09-27 20:36:49,032 - INFO - objects_num_before_nms: 69, objects_num_after_nms: 9, person_num_after_nms: 8, car_num_after_nms: 1 -> _objects_num_before_nms: 20453, _objects_num_after_nms: 1403, _person_num_after_nms: 1403, _car_num_after_nms: 0
2024-09-27 20:36:49,229 - INFO - objects_num_before_nms: 89, objects_num_after_nms: 9, person_num_after_nms: 7, car_num_after_nms: 1 -> _objects_num_before_nms: 20480, _objects_num_after_nms: 1400, _person_num_after_nms: 1399, _car_num_after_nms: 0
2024-09-27 20:36:56,177 - INFO - objects_num_before_nms: 54, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 20642, _objects_num_after_nms: 1474, _person_num_after_nms: 1474, _car_num_after_nms: 0
2024-09-27 20:36:56,379 - INFO - objects_num_before_nms: 53, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 20754, _objects_num_after_nms: 1479, _person_num_after_nms: 1479, _car_num_after_nms: 0
2024-09-27 20:37:03,430 - INFO - objects_num_before_nms: 53, objects_num_after_nms: 6, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 19668, _objects_num_after_nms: 1606, _person_num_after_nms: 1602, _car_num_after_nms: 0
2024-09-27 20:37:03,638 - INFO - objects_num_before_nms: 38, objects_num_after_nms: 6, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 20084, _objects_num_after_nms: 1614, _person_num_after_nms: 1611, _car_num_after_nms: 0
2024-09-27 20:37:10,530 - INFO - objects_num_before_nms: 61, objects_num_after_nms: 6, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 18865, _objects_num_after_nms: 1225, _person_num_after_nms: 1223, _car_num_after_nms: 0
2024-09-27 20:37:10,712 - INFO - objects_num_before_nms: 34, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 18742, _objects_num_after_nms: 1230, _person_num_after_nms: 1228, _car_num_after_nms: 0
2024-09-27 20:37:17,589 - INFO - objects_num_before_nms: 30, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 17977, _objects_num_after_nms: 1170, _person_num_after_nms: 1168, _car_num_after_nms: 1
2024-09-27 20:37:17,766 - INFO - objects_num_before_nms: 40, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 18182, _objects_num_after_nms: 1165, _person_num_after_nms: 1165, _car_num_after_nms: 0
2024-09-27 20:37:24,756 - INFO - objects_num_before_nms: 34, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 1 -> _objects_num_before_nms: 19280, _objects_num_after_nms: 1353, _person_num_after_nms: 1351, _car_num_after_nms: 0
